CLAVE,UBICACIÓN,P001,P029,P025,P024E,P024,P010,P002E,P002,P028E,P028,P026E,P026,P007,P003E,P003,P011,P012,P019,P030E,P030,P008,P021,P020,P021A,P031E,P031,D002,D012,D001,D004,D006,D005
11,OFICINAS,799.98,0,133.33,33.33,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0,-33.45,0.00,88.07,0.00,0.00,0.00,2.37,23.98,0.00,0.00,0.00
30,OFICINAS,583.33,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,-61.46,0.00,93.68,0.00,0.00,0.00,0,14.92,0.00,0.00,0.00
21,OFICINAS,283.33,0,300,75,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,-61.46,0.00,93.68,0.00,0.00,0.00,0,14.48,0.00,0.00,0.00
27,OFICINAS,700.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25,0.00,0,-53.95,0.00,93.63,0.00,0.00,0.00,0.59,18.5,0.00,0.00,0.00
39,OFICINAS,100.00,0,113.7,28.43,0.00,0.00,41.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,-345,0.00,93.72,0.00,0.00,0.00,0,4.96,0.00,0.00,0.00
8,OFICINAS,666.65,0,266.66,66.67,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,-33.45,0.00,88.07,0.00,0.00,0.00,3.56,23.91,0.00,0.00,0.00
7,OFICINAS,799.98,0,133.33,33.33,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,-33.45,0.00,88.07,0.00,0.00,0.00,0,23.23,0.00,0.00,0.00
28,OFICINAS,700.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25,0.00,0,-53.95,0.00,93.63,0.00,0.00,0.00,7.71,18.46,0.00,0.00,0.00
