CLAVE,UBICACIÓN,P001,P029,P025,P024E,P024,P010,P002E,P002,P028E,P028,P026E,P026,P007,P003E,P003,P011,P012,P019,P030E,P030,P008,P021,P020,P021A,P031E,P031,D002,D012,D001,D004,D006,D005
11,OFICINAS,933.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,-65.41,0.00,118.26,0.00,0.00,0.00,3.85,24.70,0.00,0.00,0.00
30,OFICINAS,700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-81.40,0.00,125.73,100.00,100.00,0.00,0.00,17.38,0.00,0.00,0.00
27,OFICINAS,700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,-81.36,0.00,125.68,100.00,100.00,0.00,2.35,17.99,0.00,0.00,0.00
41,OFICINAS,700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,-81.40,0.00,125.73,100.00,100.00,0.00,0.00,18.01,0.00,0.00,0.00
8,OFICINAS,799.98,0.00,133.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-56.88,0.00,118.26,133.33,133.33,0.00,0.00,23.23,0.00,0.00,0.00
7,OFICINAS,933.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-65.41,0.00,118.26,0.00,0.00,0.00,0.00,23.99,0.00,0.00,0.00
46,OFICINAS,700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-285.61,0.00,313.30,0.00,0.00,0.00,0.00,17.38,0.00,0.00,0.00
47,OFICINAS,700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-285.61,0.00,313.30,0.00,0.00,0.00,0.00,17.38,0.00,0.00,0.00
