CLAVE,P001,P029,P025,P024E,P024,P010,P002E,P002,P028E,P028,P026E,P026,P007,P003E,P003,P011,P012,P019,P030E,P030,P008,P021,P020,P021A,P031E,P031,D002,D012,D001,D004,D006,D005
1,4333.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.14,0,119.63,0,0,0
26,7583.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.58,157.09,0,0,0,0,0,0,1091.49,0,210.03,0,0,0
25,21666.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4636.26,0,596.37,0,0,0
9,3033.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.54,0,0,-34.57,2.43,77.71,0,0,0
2,3466.71,0,0,0,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,133.34,0,0,0,0,0,0,0,453.29,0,119.66,0,0,0
3,1800,0,150,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,101.86,0,207.68,0,0,0,6.67,53.44,0,0,0
13,1775,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,128.44,0,0,81.89,120.83,49.25,0,0,0
14,1950,0,0,0,0,0,0,0,0,0,0,0,6650,0,0,0,0,0,0,0,0,0,0,0,0,0,1275.11,35,198.07,0,0,0
43,3033.29,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,128.44,0,0,140.46,3.4,77.48,0,0,0
19,1733.29,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.82,0,110.81,0,0,0
5,2166.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,0,0,57.38,0,193.93,0,0,-7.65,35.76,53.92,0,0,0
6,2491.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.84,0,0,0,0,149.25,0,0,15.03,16.37,66.5,0,0,0
17,453.32,0,124.2,31.05,0,0,232.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.42,0,218.12,0,0,0,0,11.27,0,0,0
44,399.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.34,0,407.02,0,0,0,0,9.93,0,0,0
