CLAVE,UBICACIÓN,P001,P029,P025,P024E,P024,P010,P002E,P002,P028E,P028,P026E,P026,P007,P003E,P003,P011,P012,P019,P030E,P030,P008,P021,P020,P021A,P031E,P031,D002,D012,D001,D004,D006,D005
11,OFICINAS,799.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,-44.36,0,90.44,0,0,0,3.26,20.55,0,0,0
30,OFICINAS,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53.95,0,93.63,0,0,0,0,17.91,0,0,0
21,OFICINAS,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53.95,0,93.63,0,0,0,1.11,17.38,0,0,0
27,OFICINAS,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,-53.95,0,93.63,0,0,0,0,18.5,0,0,0
41,OFICINAS,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,-53.95,0,93.63,0,0,0,0,17.38,0,0,0
42,OFICINAS,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53.95,0,93.63,0,0,0,0,17.38,0,0,0
8,OFICINAS,799.98,0,133.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.45,0,88.07,0,0,0,0,23.91,0,0,0
7,OFICINAS,933.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.45,0,88.07,0,0,0,0,23.23,0,0,0
