CLAVE,P001,P029,P025,P024E,P024,P010,P002E,P002,P028E,P028,P026E,P026,P007,P003E,P003,P011,P012,P019,P030E,P030,P008,D002,P020,P021,D012,P021A,D001,D004,D006,D005
SAMA ,7270.40,0.00,0.00,0.00,0.00,727.04,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1146.39,,0.00,0.00,0.00,237.61,0.00,0.00,0.00
SALC ,181333.28,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,58858.92,,0.00,0.00,0.00,734.00,0.00,0.00,0.00
SALR ,181333.28,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,58858.92,,0.00,0.00,0.00,734.00,0.00,0.00,0.00
SAPA ,14370.40,0.00,0.00,0.00,0.00,718.52,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,2759.79,,0.00,0.00,0.00,462.19,0.00,1860.96,0.00
SASJ ,30400.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,7256.24,,0.00,0.00,0.00,734.00,0.00,0.00,0.00
MOSS ,10343.36,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1647.48,,0.00,0.00,0.00,302.02,0.00,0.00,0.00
SEAB ,5653.28,0.00,0.00,0.00,0.00,282.66,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,687.24,,0.00,0.00,0.00,170.92,0.00,0.00,0.00
SUGJ ,5386.72,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,673.34,,,0.00,,,134.58,33.76,,739.78,,0.00,0.00,0.00,179.63,0.00,1100.03,0.00
UISE ,4144.16,0.00,0.00,0.00,0.00,414.42,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,434.51,,0.00,0.00,0.00,129.41,0.00,0.00,0.00
VAJD ,2500.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.24,4.58,169.53,81.72,0.00,0.00,0.00
VARO ,7955.36,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,1137.41,,0.00,106.69,0.00,252.91,0.00,0.00,0.00
CAGB ,4266.72,0.00,0.00,0.00,0.00,426.67,0.00,,0.00,0.00,,,0.00,,,0.00,,,0.00,0.00,,298.44,,0.00,0.00,84.00,110.83,0.00,2098.00,0.00
